eventid,iyear,imonth,iday,country_txt,region_txt,city,provstate,attacktype1_txt,weaptype1_txt,targtype1_txt,gname,success,suicide,ransom,nkill,nwound,latitude,longitude,summary
202001010001,2020,1,1,United Kingdom,Western Europe,London,England,Bombing/Explosion,Explosives,Government (General),Unknown,1,0,0,0,1,51.5074,-0.1278,A small pipe bomb exploded near a government building in central London causing minor injuries.
202002150002,2020,2,15,India,South Asia,New Delhi,Delhi,Armed Assault,Firearms,Police,Maoists,1,0,0,2,3,28.6139,77.2090,Armed insurgents ambushed a police patrol vehicle in New Delhi resulting in two officers killed.
202003100003,2020,3,10,Colombia,South America,Bogota,Bogota,Kidnapping,Firearms,Private Citizens & Property,ELN,1,0,1,0,0,4.7110,-74.0721,Rebels hijacked a commercial truck and kidnapped the driver for ransom near Bogota.
202004050004,2020,4,5,Kenya,Sub-Saharan Africa,Nairobi,Nairobi,Armed Assault,Firearms,Military,Al-Shabaab,1,0,0,3,2,-1.2921,36.8219,Militants attacked a military checkpoint on the outskirts of Nairobi.
202005200005,2020,5,20,Philippines,Southeast Asia,Manila,Manila,Bombing/Explosion,Explosives,Business,Abu Sayyaf,1,1,0,5,10,14.5995,120.9842,A suicide bomber detonated an explosive vest inside a local marketplace in Manila.
202006120006,2020,6,12,France,Western Europe,Paris,Ile-de-France,Facility/Infrastructure Attack,Incendiary,Religious Figures/Institutions,Right-wing extremists,1,0,0,0,0,48.8566,2.3522,Arsonists targeted a place of worship in Paris during late hours.
202007010007,2020,7,1,Iraq,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Explosives,Military,Islamic State,1,0,0,4,8,33.3152,44.3661,An improvised explosive device targeted an army convoy in central Baghdad.
202008180008,2020,8,18,Afghanistan,South Asia,Kabul,Kabul,Armed Assault,Firearms,Government (General),Taliban,1,0,0,2,4,34.5553,69.2075,Gunmen opened fire on a government convoy traveling through Kabul.
202009250009,2020,9,25,Somalia,Sub-Saharan Africa,Mogadishu,Banaadir,Bombing/Explosion,Explosives,Airports & Aircraft,Al-Shabaab,1,1,0,8,15,2.0469,45.3182,A suicide car bomb exploded near the entrance of Mogadishu international airport.
202010050010,2020,10,5,Thailand,Southeast Asia,Yala,Yala,Armed Assault,Firearms,Educational Institution,Separatists,1,0,0,1,1,6.5398,101.2813,Assailants shot at school teachers returning home in Yala province.
